what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1312014250644
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1312014250660
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1312014250676
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1312014250691
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1312014250703
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1312014250712
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1312014250722
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1312014250728
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1312014250740
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1312014250746
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1312014250750
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1312014250760
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1312014250773
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1312014250773
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1312014250785
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1312014250800
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1312014250813
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1312014250823
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1312014250831
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312014250842
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312014250846
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312014250867
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312014250879
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1312014250884
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1312014250901
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1312014250915
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1312014250915
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1312014250923
os,sysinfo,,,"macosx",1312014250929
arch,sysinfo,,,"x86_64",1312014250929
ws,sysinfo,,,"cocoa",1312014250929
locale,sysinfo,,,"zh_CN",1312014250929
processors,sysinfo,,,"4",1312014250929
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312014250929
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334",1312014250929
java.specification.name,sysinfo,,,"Java Platform API Specification",1312014250929
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312014250929
java.specification.version,sysinfo,,,"1.6",1312014250929
java.vendor,sysinfo,,,"Apple Inc.",1312014250929
java.version,sysinfo,,,"1.6.0_24",1312014250929
java.vm.info,sysinfo,,,"mixed mode",1312014250929
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1312014250929
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312014250929
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312014250929
java.vm.specification.version,sysinfo,,,"1.0",1312014250929
java.vm.vendor,sysinfo,,,"Apple Inc.",1312014250929
java.vm.version,sysinfo,,,"19.1-b02-334",1312014250929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312014251179
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1312014251199
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1312014251221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312014261660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312014306960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1312014306984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1312014306984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312014321218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312014322545
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312014322650
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312014323323
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312014323343
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1312014323630
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1312014323641
